,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SULT1C4,42.324825032855834,1.7262358818164256,0.3506270418370727,4.9232822225348,8.510457721684283e-07,0.00041163868220112353
CFD,68.18785332955608,1.6317700849522674,0.332241299847386,4.911400496271283,9.042817340553976e-07,0.00042523848543955074
C7,1605.4439403951296,3.294905264050427,0.6749460356406999,4.881731412679092,1.0515842213842161e-06,0.0004768838352178671
KCNMB4,48.5996889281128,2.0919720309527956,0.4288387512484765,4.878225265003328,1.070446319232025e-06,0.0004768838352178671
CHIT1,69.3659527177089,2.8954151988782857,0.5992832859668513,4.831463294036273,1.3553320843394528e-06,0.0005883183809175025
PER1,255.54058329847385,1.4801163668950044,0.30871214721458634,4.7944869686846925,1.630916651136741e-06,0.0006902446996773472
GNAO1,154.94322041350543,1.9102279273302993,0.3989279648864335,4.788403159137017,1.6811365449041218e-06,0.0006941453797239482
LIFR,651.4553314093514,1.4695321075898296,0.3082694297771898,4.767038070080365,1.8695399420198435e-06,0.0007535581352012841
CCDC107,163.8439715060203,0.6144980987646486,0.12962121600379622,4.74072160182984,2.129583865558028e-06,0.0008384122153495781
KCNIP4,19.704619425701416,2.4807639995465127,0.5242375525348423,4.7321371533788295,2.2216820876857653e-06,0.0008547921832370982
PLIN4,767.7445237512845,2.0470492187081697,0.43368792780041604,4.720097303815718,2.3573185161092907e-06,0.0008621125336339709
ZNF483,252.42272810702934,1.593142885141414,0.33717274507735606,4.725004937086199,2.301097657162713e-06,0.0008621125336339709
NLGN1,40.37332162907487,2.50688530589864,0.5314576261058095,4.716999404576304,2.3934839081337724e-06,0.0008621125336339709
SMAP2,924.2362968842468,0.683432889893545,0.14509658471752857,4.71019280863185,2.4748255568734455e-06,0.0008728400385898033
GSTM2,831.2453318264513,1.4849604265435137,0.3178458380120334,4.671951773322557,2.9835102083290245e-06,0.0009238453610630939
TCF7L1,263.47706439101114,1.2159182428802597,0.2595761503725393,4.684244839655702,2.809939646718319e-06,0.0009238453610630939
ROR1,441.6843619645092,1.8258194222016746,0.39002400703079776,4.681300097656555,2.8506128295684605e-06,0.0009238453610630939
DUOXA2,231.5811948792902,-3.044571946330753,0.6499210397301394,-4.684525904246648,2.806086788209078e-06,0.0009238453610630939
ATP2C1,13707.436705095708,-0.5429412603107111,0.11621243516813551,-4.6719721476035385,2.98321420275216e-06,0.0009238453610630939
ANKS1B,116.26699324609118,2.029379551028554,0.43246221673351043,4.692617002143998,2.6973217724534665e-06,0.0009238453610630939
SLA,271.54229254906215,1.0278944236922805,0.22007190576527774,4.67072078154584,3.001446917034093e-06,0.0009238453610630939
NAALAD2,81.64579092039061,1.991115392200885,0.4303987131937461,4.62621130399285,3.7241535981475814e-06,0.0011060736186498316
RPS19,11081.913901212945,-0.7216756142238796,0.15589324186118614,-4.629293775714086,3.669149247485834e-06,0.0011060736186498316
MAMDC2,146.73190957736543,2.106220532847849,0.4561442064500167,4.617444446438769,3.884946366021769e-06,0.001133935466041078
ABI3BP,2516.3882102737048,1.8521499622716826,0.40419099795558655,4.582363218478213,4.597504286293263e-06,0.0013191720349603163
IQCN,121.56066057530225,1.7834127920702625,0.3899441941734123,4.5735077447445205,4.796259412759155e-06,0.0013532645933099954
