,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CEACAM3,29.451306708351076,-0.48968601470366063,0.41059883035226896,-1.192614246571379,0.23302048373884865,0.4731682582721565
DCDC1,17.512418364849022,-0.44822770432183007,0.7060800320716757,-0.6348114717345944,0.5255513805124998,0.7318873834199767
HAS2,512.0641438601454,0.34870991554748887,0.2865079113806441,1.2171039671019954,0.22356466151961385,0.46158161891826527
PDGFD,228.2597496792302,1.0379030669108784,0.33346003161469123,3.112526145592651,0.0018549358255978503,0.034545884039104524
PLAC1,12.38519593261871,-0.05701409276156933,0.7731587762751108,-0.07374176496611631,0.9412158655991048,0.9732724634965652
DDI1,8.881826943253698,0.924117550963452,0.5310008707921199,1.7403315169425257,0.08180082297508681,0.271228002951399
S1PR1,240.3468378386439,0.6118754546618586,0.2275116049203886,2.6894252487734303,0.007157517532861237,0.07144434806238673
HS6ST2,126.57140337590579,-0.7595779741116231,0.5498217676408195,-1.3814985488312468,0.16712572370833034,0.3942900924815115
OR4D5,4.194102439148823,4.414749698456678,1.0589627233073602,4.168937774002563,3.0602251626592124e-05,0.004709686525332528
PYGO1,286.54752000976583,0.6318245039793772,0.2877721049378984,2.195572444784826,0.028122560327546366,0.15154693177698783
LRRC8E,100.98757160663031,-0.1842634540294335,0.2334703258511587,-0.7892371476232255,0.4299734141100193,0.659507341350857
PKIA,54.017444066741675,-0.7154331635439486,0.4159254574472321,-1.7200994811304973,0.08541436005083501,0.2774343967358511
XKR6,104.34195657407977,-0.02659306851910067,0.345970859931846,-0.0768650530982272,0.9387308988548466,0.9725688731158934
TSNARE1,241.61812718036566,0.26924801893268613,0.19107600228811167,1.4091147800271837,0.1588012311708482,0.3836110220449899
FPR2,68.16821163835318,0.8052131615732477,0.4693666521279196,1.7155312545591708,0.08624787019650705,0.2786963532270792
FPR1,191.98434589269633,1.1557409177287299,0.32652933856067173,3.5394703668074348,0.00040093078030962575,0.01598155722065669
PATE1,5.408666003770885,-1.1804721166566527,0.9837091453055722,-1.2000214924198551,0.23013099349460797,0.46995025197469464
OR13H1,36.905132953881456,-0.5738280745118417,1.4429353579888333,-0.39768106820228216,0.6908652943104218,0.8370014608315186
FEZ2,930.960177157971,0.05242066680931146,0.09126930143664956,0.5743515725897923,0.5657299166145311,0.7588939586661962
SOX7,7.73410023475167,0.23514062294864266,0.5779046458753705,0.4068848115807543,0.6840925917931635,0.8333698109339178
C11orf24,1354.0704513067753,0.11314413748378467,0.1408087442915801,0.8035306191602074,0.421668106463297,0.6527278941653996
ALK,23.391032977042517,0.6856055385988434,0.5547772788264441,1.235821229105036,0.21652502206678326,0.45383460814673887
