,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARL17B,1123.0627629372368,-0.25150348599915967,0.2875206484854077,-0.8747319099481093,0.38171979329093664,0.9999760324314529
DHFR,1364.1075629196598,-0.23271180817154286,0.23546618652879592,-0.9883024463178443,0.3230045477078203,0.9999760324314529
SAPCD1,105.61570469961978,-0.020376089341353168,0.4003329156775692,-0.0508978616131685,0.9594069094885994,0.9999760324314529
CT45A5,0.03665899398062851,0.9184389924279156,4.731813424816052,0.1940987333970421,0.8460985733709803,0.9999760324314529
TSPY3,0.12608226336665102,0.6234253112137569,4.747006676234247,0.1313301947382796,0.8955141066995524,0.9999760324314529
RPL41,16364.74148589552,0.25330717019701815,0.1530044503765425,1.6555542637722733,0.09781211878555157,0.9999760324314529
PGA4,13.916820510625417,0.7782459975759713,1.0090151137029537,0.771292706131933,0.4405334546950884,0.9999760324314529
RFPL4AL1,4.21928782267617,1.3292377550198422,2.095812158402709,0.6342351578077018,0.5259273662628967,0.9999760324314529
ORM1,48.91435102999598,-1.1294622601722335,0.8064221738206964,-1.4005843301915002,0.16133840947314093,0.9999760324314529
SPINK8,0.01286225836087404,0.10367154806997572,4.782136442800343,0.021678918891169765,0.9827040801089518,0.9999760324314529
PATL2,67.61424639666873,-0.7768191804010909,0.3501900973837438,-2.2182785470082558,0.026535845985748253,0.9834725437173693
NKX1-2,0.07967800330366426,-0.003191069524654798,4.778885880676664,-0.0006677434038669615,0.9994672178870695,0.9999760324314529
TSPY8,0.30048797353620155,0.10368372554661881,4.782135471861778,0.02168146974436354,0.982702045300839,0.9999760324314529
PRAMEF25,0.34691852103773374,0.9253861706684557,3.3553720769075333,0.27579241570172885,0.7827075092824469,0.9999760324314529
PRAC2,0.058264060503376736,0.045377540222584035,4.753787131927925,0.009545555777585044,0.9923838640816736,0.9999760324314529
PRR20C,0.15572452448716015,0.15224732737828148,4.75661368876218,0.03200750309783954,0.9744660673577756,0.9999760324314529
H2AL3,0.07312634950794641,0.7007907858832867,4.73389200419326,0.14803691872618333,0.8823136322917914,0.9999760324314529
ZNF492,239.642248203372,-0.3758891140163243,0.8240499904627312,-0.45614843561280816,0.6482832422597418,0.9999760324314529
ZNF688,50.03439372595953,-0.28652027675815206,0.23866271397394348,-1.2005238354468455,0.2299359613039711,0.9999760324314529
PET100,1265.835988310889,0.07191987237347462,0.17726520693010467,0.40571905575261874,0.6849490391943835,0.9999760324314529
PGA3,19.84842618642596,-0.34018334813777185,1.1054336142998107,-0.30773747399860496,0.7582821024366632,0.9999760324314529
GK3,569.1046488448683,0.027731978299318415,0.17726352953899382,0.15644491775290995,0.8756823337782289,0.9999760324314529
FAM90A26,0.1768835438406855,0.8115784494655468,4.728528288731424,0.17163447058139059,0.8637249059646641,0.9999760324314529
PRPS1L1,0.6160659642874771,1.1482763461702772,2.8218208006220427,0.40692745121063356,0.6840612733724041,0.9999760324314529
