,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DTHD1,84.84202821207195,2.079419129981138,0.42527957004531824,4.889534500233701,1.0107470786904894e-06,0.00044470063831607396
EDIL3,1084.4326356167787,1.3141988209704956,0.27071892719491747,4.854477057026283,1.207048428326088e-06,0.0004779610014064227
DUSP1,1652.1276843805792,1.817913674294178,0.3743851607370461,4.855731115825425,1.1994336706054226e-06,0.0004779610014064227
DCN,11520.100779457847,1.8181267455008472,0.37389917574675646,4.862612338927092,1.1584659157162086e-06,0.0004779610014064227
CCL14,165.9329897430746,2.8260156423515563,0.5820267438834701,4.855473862756664,1.200991956646018e-06,0.0004779610014064227
LMOD1,2331.5384373818706,2.1159253202418866,0.43661963588240926,4.846152454791908,1.2587879993235612e-06,0.00048629129564111914
HAND2,221.000463013405,2.588155874676045,0.5351610641395235,4.836218566904709,1.323324103027906e-06,0.0004895231229434058
TCF7L1,292.6832579523787,1.3134966657444465,0.27164333195173385,4.8353723844685845,1.3289661144369248e-06,0.0004895231229434058
NLRP6,15.906551324765575,2.5792849366266215,0.5347614382439004,4.823244071406342,1.4124196214824352e-06,0.0005084389632877339
KLHDC1,178.75712769368565,1.3925754291033074,0.2895810595604847,4.808931327266039,1.5173931927887058e-06,0.0005340886840128957
PLCB4,13236.866161330756,-1.6247139705240818,0.33978888755820996,-4.781539449979065,1.739578554972087e-06,0.0005989822767870193
C6,74.46240838665982,2.91026215600472,0.6104620924831455,4.767310193114196,1.867017459137648e-06,0.0006064234712979791
CADM1,605.7651705146723,1.4851240112917654,0.3113571863182271,4.769840159635413,1.8437215804007077e-06,0.0006064234712979791
KCNT2,272.0983830210968,1.7605745252734246,0.3693768114972115,4.766337437743342,1.8760496302544967e-06,0.0006064234712979791
CCDC80,4457.985907386804,1.911165541293708,0.40304938063259166,4.741765235550312,2.1186404912411816e-06,0.0006711429348153815
CACNA2D1,1986.3899910192604,1.3606666086032677,0.2879138437590035,4.7259506206384625,2.2904130662314313e-06,0.0006844877840762196
DERA,629.970070987115,-0.44082813458262965,0.09321860887843499,-4.728971391940713,2.256601743573891e-06,0.0006844877840762196
CLU,3036.932054285712,2.105270009413569,0.445329692166636,4.7274413685980035,2.2736668615067416e-06,0.0006844877840762196
ADAMTSL4,846.4106372247522,1.4508024289939925,0.3091932783087793,4.6922185272900165,2.702582220592433e-06,0.0007927074035548806
ARHGEF25,685.2272410107771,1.4813215441944372,0.3188651426618553,4.645605135225847,3.390810313159667e-06,0.000944475350636874
ROR1,544.3435358475737,1.9376371191590271,0.41663411232132685,4.650692446576805,3.3082237244378614e-06,0.000944475350636874
CD22,132.6302236010618,2.473554426639318,0.532506774738035,4.645113534670381,3.3988948157271173e-06,0.000944475350636874
AOX1,473.46891603071145,1.9438732791727975,0.41889642130232496,4.6404628455153825,3.476296771981893e-06,0.0009493286995072623
PCDH9,164.68373409901923,1.9873431180925263,0.42941471194230135,4.628027551975344,3.6916491243443344e-06,0.0009585578767293427
ABI3BP,3042.410123307691,2.070959418549177,0.4468702797066374,4.634363735061382,3.580369806626521e-06,0.0009585578767293427
